2026-06-28 10:00:23 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:23 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:23 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:23 | INFO     | history:get_history:86 | History query: page=1, page_size=10, total=0
2026-06-28 10:00:23 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:23 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:23 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:23 | INFO     | history:get_history:86 | History query: page=1, page_size=10, total=0
2026-06-28 10:00:23 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:23 | INFO     | data_loader:load_data_from_json:169 | Loading data from JSON: C:\ShopFloorScheduler\tests\..\data.json
2026-06-28 10:00:23 | INFO     | data_loader:load_data_from_json:187 | JSON loaded: 3 machines, 5 jobs.
2026-06-28 10:00:23 | INFO     | data_loader:load_data_from_excel:70 | Loading data from Excel: C:\ShopFloorScheduler\tests\..\data.xlsx
2026-06-28 10:00:24 | INFO     | data_loader:load_data_from_excel:105 | Excel loaded successfully: 6 machines, 20 jobs.
2026-06-28 10:00:24 | INFO     | genetic_algorithm:run_genetic_algorithm:40 | Running Genetic Algorithm (Multi-Objective) | Pop=10, Gen=5, M-Rate=0.1
2026-06-28 10:00:24 | INFO     | genetic_algorithm:run_genetic_algorithm:41 | Fitness Weights: Makespan=0.6, Tardiness=0.4
2026-06-28 10:00:24 | INFO     | genetic_algorithm:run_genetic_algorithm:93 | Genetic Algorithm finished. Best makespan: 31
2026-06-28 10:00:24 | INFO     | genetic_algorithm:run_genetic_algorithm:40 | Running Genetic Algorithm (Multi-Objective) | Pop=10, Gen=5, M-Rate=0.1
2026-06-28 10:00:24 | INFO     | genetic_algorithm:run_genetic_algorithm:41 | Fitness Weights: Makespan=0.6, Tardiness=0.4
2026-06-28 10:00:24 | INFO     | genetic_algorithm:run_genetic_algorithm:93 | Genetic Algorithm finished. Best makespan: 31
2026-06-28 10:00:24 | INFO     | schedule:_run_schedule_background:124 | Task 9bf1867c-bf86-4390-837b-d0b757467f2f: Loading data from uploads\9bf1867c-bf86-4390-837b-d0b757467f2f.xlsx
2026-06-28 10:00:24 | INFO     | data_loader:load_data_from_excel:70 | Loading data from Excel: uploads\9bf1867c-bf86-4390-837b-d0b757467f2f.xlsx
2026-06-28 10:00:24 | INFO     | data_loader:load_data_from_excel:105 | Excel loaded successfully: 6 machines, 20 jobs.
2026-06-28 10:00:24 | INFO     | schedule:_run_schedule_background:127 | Task 9bf1867c-bf86-4390-837b-d0b757467f2f: Running FCFS algorithm
2026-06-28 10:00:24 | INFO     | schedule:_run_schedule_background:147 | Task 9bf1867c-bf86-4390-837b-d0b757467f2f: Computing metrics
